GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ErisCasper-Data,com.github.princesslana.eriscasper.data,Snowflake,29,34,3,3,8,8,6,4,3,4
ErisCasper-Data,com.github.princesslana.eriscasper.data,DataException,16,0,0,0,8,0,4,0,4,0
ErisCasper-Data,com.github.princesslana.eriscasper.data,Data,12,13,0,0,4,3,0,3,0,3
ErisCasper-Data,com.github.princesslana.eriscasper.data.resource,ImmutableActivityTimestamps,196,0,24,0,44,0,26,0,14,0
ErisCasper-Data,com.github.princesslana.eriscasper.data.resource,ImmutableEmbedField.Builder,135,0,8,0,25,0,11,0,7,0
ErisCasper-Data,com.github.princesslana.eriscasper.data.resource,ImmutableActivityTimestamps.Builder,63,0,4,0,17,0,8,0,6,0
ErisCasper-Data,com.github.princesslana.eriscasper.data.resource,ImmutableEmbedImage,282,0,32,0,58,0,32,0,16,0
ErisCasper-Data,com.github.princesslana.eriscasper.data.resource,ImmutableUser,597,130,58,8,76,37,51,11,18,11
ErisCasper-Data,com.github.princesslana.eriscasper.data.resource,UserWithGuildId,0,9,0,0,0,3,0,2,0,2
ErisCasper-Data,com.github.princesslana.eriscasper.data.resource,ImmutableUnavailableGuild.Builder,55,42,5,1,12,10,6,4,3,4
ErisCasper-Data,com.github.princesslana.eriscasper.data.resource,ImmutableEmbedAuthor.Json,35,0,0,0,13,0,9,0,9,0
ErisCasper-Data,com.github.princesslana.eriscasper.data.resource,ImmutableReaction.Json,12,15,0,0,3,7,3,4,3,4
ErisCasper-Data,com.github.princesslana.eriscasper.data.resource,ImmutableUnavailableGuild.Json,8,14,0,0,2,6,2,3,2,3
ErisCasper-Data,com.github.princesslana.eriscasper.data.resource,ImmutableReaction,172,46,23,3,34,14,24,3,11,3
ErisCasper-Data,com.github.princesslana.eriscasper.data.resource,ImmutableAttachment,550,0,54,0,94,0,51,0,24,0
ErisCasper-Data,com.github.princesslana.eriscasper.data.resource,ImmutableEmbedThumbnail.Json,35,0,0,0,13,0,9,0,9,0
